Internal ID,Date,Print,Document Number,Name,PO/Check Number,Status,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,Scrap Moved,Delivery Date,AM Work Order Code,Related PO #,Integration Status,Acknowledgement Status,INVOICE,Freight Cost $,Freight Price $,SAW Stamp Required,Preferred Entity Bank,Vendor Bank Fees,Bank Fee,SINGLE PWO WORK ORDER REF#,LOT/SERIAL===>BIN=====>QTY,Coil Receipt Info #,confirmation,Paint Process Completed,FREIGHT PROCESS COMPLETED,PWO Reference#,Old Adj Order,PWO Waiting on Material,Shipping Cost
10008018,09/17/2019,Print,SO51-02039,Thermacon Insulation Systems by Vertarib,FAIRBANKS, AK,Pending Approval,,,USA,$203.63,203.63,,,,,,,,,,,,,,,,,,,,,No,No,88.63
10008017,09/17/2019,Print,SO51-02038,METAL FORMED GOODS COMPANY,DARK BRONZE COILS,Pending Approval,,,USA,$4,533.78,4533.78,,,,,,,,,,,,,,,,,,,,,No,No,
10006873,09/17/2019,Print,SO54-03827,Weber Roofing,Rodney Called in,Pending Approval,,,USA,$1,334.00,1334,,,,,,,,,,,,,,,,,,,,,No,No,250
10006068,09/17/2019,Print,SO55LM-00413,R & S Sheet Metal,,Billed,,,USA,$525.60,525.6,,,,,,,,,,,,,,,,,,,,,No,No,0
10004791,09/17/2019,Print,SO55LM-00412,Campbell Roofing, Inc.,,Pending Fulfillment,,,USA,$1,181.76,1181.76,,,,,,,,,,,,,,PWO55LM-00412-14213,81234630100,PUTAWAY La Mirada,236.5@,,,,,,No,No,139.45
10004368,09/17/2019,Print,SO52-04334,MARTY ROBBINS ROOFING CO., INC,278063,Pending Approval,,,USA,$1,122.00,1122,,,,,,,,,,,,,,,,,,,,,No,No,
10004063,09/17/2019,Print,SO54-03826,SCHAFER & COMPANY LLC,27210,Pending Fulfillment,,,USA,$380.00,380,,,,,,,,,,,,,,,,,,,,,No,No,0
10003942,09/30/2019,Print,SO54-03825,Residential Roofing : BILLINGS - RRO011,ZACH,Pending Fulfillment,,,USA,$24,100.00,24100,,,,,,,,,,,,,,,,,,,,,No,No,500
10003719,09/17/2019,Print,SO54-03824,Metal Direct LLC,1987 MCR JOB,Pending Fulfillment,,,USA,$1,851.90,1851.9,,,,,,,,,,,,,,,,,,,,,No,No,0
10003507,09/17/2019,Print,SO51-02037,MID SOUTH METALS,SAMMY - SLATE GRAY,Pending Approval,,,USA,$2,053.00,2053,,,,,,,,,,,,,,,,,,,,,No,No,194.3
10002981,09/17/2019,Print,SO54-03823,Colorado Copper,Shop Stock,Billed,,,USA,$173.30,173.3,,,,,,,,,,,,,,,,,,,,,No,No,0
10002570,09/17/2019,Print,SO51-02036,Tyco's General Contracting,J. CAMPBELL,Pending Approval,,,USA,$2,182.70,2182.7,,,,,,,,,,,,,,,,,,,,,No,No,173.7
10002361,09/17/2019,Print,SO54-03822,Division 7 Sheet Metal,Collins,Pending Fulfillment,,,USA,$475.00,475,,,,,,,,,,,,,,,,,,,,,No,No,189.26
10002148,09/17/2019,Print,SO52-04333,Extreme Metal Fabricators, LLC,4455,Pending Approval,,,USA,$11,255.00,11255,,,,,,,,,,,,,,,,,,,,,No,No,
10002145,09/17/2019,Print,SO51-02035,PMH & SON METAL ROOFING,CLIPS,Pending Approval,,,USA,$236.00,236,,,,,,,,,,,,,,,,,,,,,No,No,
