Internal ID,Date,Document Number,Name,Currency,Amount (Foreign Currency),Amount
6943452,04/17/2019,SO54-01138,Glacier Steel Roofing Products,USA,$538.00,538
6943451,04/17/2019,SO52-01681,4M METALS,USA,"$3,750.00",3750
6943241,04/17/2019,SO80-03803,Hernandez seamless gutters LLC,USA,"$11,525.00",11525
6943125,04/17/2019,SO54-01137,BRIAN PIERCE ROOFING LLC,USA,"$1,290.00",1290
6943115,04/17/2019,SO54-01136,METAL ROOFING SOLUTIONS,USA,"$2,750.00",2750
6942889,04/17/2019,SO54-01135,"METRO METAL SUPPLY, INC.",USA,"$2,500.00",2500
6942887,04/17/2019,SO54-01134,FLATIRON STEEL,USA,"$3,989.70",3989.7
6942159,04/17/2019,SO54-01132,GOLKE BROS LLC,USA,"$6,630.00",6630
6942145,04/17/2019,SO55SJ-00131,"DISCOUNT METAL PANELS, INC",USA,"$6,356.00",6356
6941829,04/17/2019,SO54-01131,Western Architectural Metals (SMI),USA,$600.00,600
6941715,04/17/2019,SO54-01130,Western Architectural Metals (SMI),USA,$650.00,650
6941606,04/17/2019,SO52-01680,WOODSTOCK METAL ROOFING,USA,$614.56,614.56
6941501,04/17/2019,SO52-01679,PHOENIX METALS - TAMPA,USA,"$5,880.00",5880
6940294,04/17/2019,SO52-01678,DALLAS METALS,USA,$321.98,321.98
6939891,04/17/2019,SO54-01129,AMERICAN WALL SYSTEMS INC,USA,"$3,770.00",3770
6938975,04/17/2019,SO54-01128,"Architectural Sheet Metal&Panels,LLC DBA Architectural Panel",USA,$102.00,102
6938841,04/17/2019,SO54-01127,BEAR BROTHERS ROOFING,USA,$128.84,128.84
6938519,04/17/2019,SO54-01126,COLORADO METAL SOURCE,USA,$270.00,270
6938516,04/17/2019,SO54-01125,BRIDGER STEEL INC - BILLINGS : BILLINGS - BSI002,USA,$196.36,196.36
6937799,04/17/2019,SO54-01124,COMMERCIAL SHEET METAL INC.,USA,$52.38,52.38
6937690,04/17/2019,SO54-01123,Western Architectural Metals (SMI),USA,"$1,256.00",1256
6937466,04/17/2019,SO53-00622,Corey Construction LLC,USA,"$2,268.00",2268
6937459,04/17/2019,SO54-01122,CALEBS MANAGEMENT ENT INC (EXEMPT),USA,$50.00,50
6937258,04/17/2019,SO54-01121,Colorado Commercial Roofing Inc,USA,$952.60,952.6
6936941,04/17/2019,SO51-00637,John Baird,USA,"$2,181.27",2181.27
6936940,04/17/2019,SO55SJ-00130,LBC Inc.,USA,"$3,474.75",3474.75
6936734,04/17/2019,SO54-01120,CALEBS MANAGEMENT ENT INC (EXEMPT),USA,$112.00,112
6936507,04/17/2019,SO54-01119,AIR MECHANICAL INC,USA,$351.49,351.49
6936172,04/17/2019,SO52-01677,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,$405.00,405
6936153,04/17/2019,SO53-00621,Gotcha Covered ContractingGotcha Covered Contracting,USA,"$9,300.74",9300.74
6936142,04/17/2019,SO54-01118,COLORADO METAL SOURCE,USA,$162.00,162
6935386,04/17/2019,SO52-01676,Palmetto State Metal,USA,"$3,020.00",3020
6935380,04/17/2019,SO80-03802,Sheffield Metals International,USA,"$51,860.00",51860
6935275,04/17/2019,SO51-00636,J & A Roofing Company Inc.,USA,"$1,312.16",1312.16
6935269,04/17/2019,SO51-00635,J & A Roofing Company Inc.,USA,"$4,720.00",4720
6935061,04/17/2019,SO52-01675,PHOENIX METALS - TAMPA,USA,"$1,534.50",1534.5
6934958,04/17/2019,SO52-01674,DALLAS METALS,USA,"$2,454.22",2454.22
6934956,04/17/2019,SO80-03801,Gutters & Shutters 804,USA,$0.00,0
6934946,04/17/2019,SO52-01673,DALLAS METALS,USA,"$1,486.86",1486.86
6934837,04/17/2019,SO55LM-00098,HCS Rain Gutters,USA,"$1,370.94",1370.94
6934835,04/17/2019,SO52-01672,RDT Metal Works LLC,USA,"$1,292.80",1292.8
6934734,04/17/2019,SO54-01117,Custom Sheet Metal Inc,USA,"$1,356.25",1356.25
6934290,04/17/2019,SO54-01116,METAL ROOFING SOLUTIONS,USA,$420.00,420
6933557,04/17/2019,SO52-01671,ATLANTA METALWORKS INC. dba MIRACLE METALWORKS INC,USA,"$2,226.00",2226
6933550,04/17/2019,SO52-01670,Mid-Atlantic Roofing Supply : GARNER - MRS012,USA,$621.60,621.6
6933236,04/17/2019,SO51-00634,Specialty Construction Inc,USA,"$4,170.50",4170.5
6933221,04/17/2019,SO54-01115,ES Services,USA,$902.72,902.72
6933119,04/17/2019,SO52-01669,GUTTER GUYS CONSTRUCTION INC.,USA,"$7,114.70",7114.7
6932487,04/17/2019,SO51-00633,DURO-LAST ROOFING INC. : SAGINAW - DLR000-10,USA,"$10,995.60",10995.6
6932282,04/17/2019,SO80-03800,New Castle Building Products - Hicksville,USA,$0.00,0
6931863,04/17/2019,SO53-00620,Finished Work Roofing & Construction,USA,$475.20,475.2
6931251,04/17/2019,SO54-01114,COLORADO METAL SOURCE,USA,$810.00,810
6931250,04/17/2019,SO80-03799,Dobbin's Construction Ltd,USA,$0.00,0
6931147,04/17/2019,SO51-00632,CCR Machinery LLC,USA,"$59,030.00",59030
6931017,04/17/2019,SO54-01113,COLORADO METAL SOURCE,USA,"$1,350.00",1350
6930704,04/17/2019,SO54-01112,"Grabau Roofing, Inc.",USA,$49.92,49.92
6930700,04/17/2019,SO52-01667,ROOF DRAINAGE COMPONENTS & ACC,USA,$184.00,184
6930585,04/17/2019,SO52-01666,WATSON METALS,USA,"$6,130.00",6130
6929854,04/17/2019,SO52-01665,ROOF DRAINAGE COMPONENTS & ACC,USA,$506.80,506.8
6929853,04/17/2019,SO80-03798,Modern Builders Supply Inc.,USA,"$6,332.00",6332
6929736,04/17/2019,SO52-01664,WOODSTOCK METAL ROOFING,USA,$18.00,18
